Name,Texture Name,MaxTime,PlayRate
ProIdleR,Pro,10,1
ProIdleU,Pro,10,1
ProIdleL,Pro,10,1
ProIdleD,Pro,10,1
ProIdleRD,Pro,10,1
ProIdleLD,Pro,10,1
ProIdleLU,Pro,10,1
ProIdleRU,Pro,10,1
ProWalkR,Pro,0.5,1
ProWalkU,Pro,0.5,1
ProWalkL,Pro,0.5,1
ProWalkD,Pro,0.5,1
ProWalkRD,Pro,0.5,1
ProWalkLD,Pro,0.5,1
ProWalkLU,Pro,0.5,1
ProWalkRU,Pro,0.5,1
ProRollR,Pro,0.5,1
ProRollU,Pro,0.5,1
ProRollL,Pro,0.5,1
ProRollD,Pro,0.5,1
ProRollRD,Pro,0.5,1
ProRollLD,Pro,0.5,1
ProRollLU,Pro,0.5,1
ProRollRU,Pro,0.5,1
ProAttackR,Pro,1,1
ProAttackU,Pro,1,1
ProAttackL,Pro,1,1
ProAttackD,Pro,1,1
ProAttackRD,Pro,1,1
ProAttackLD,Pro,1,1
ProAttackLU,Pro,1,1
ProAttackRU,Pro,1,1
ProCallR,Pro,1,1
ProCallU,Pro,1,1
ProCallL,Pro,1,1
ProCallD,Pro,1,1
ProCallRD,Pro,1,1
ProCallLD,Pro,1,1
ProCallLU,Pro,1,1
ProCallRU,Pro,1,1
ProSwimR,Pro,2,1
ProSwimU,Pro,2,1
ProSwimL,Pro,2,1
ProSwimD,Pro,2,1
ProSwimRD,Pro,2,1
ProSwimLD,Pro,2,1
ProSwimLU,Pro,2,1
ProSwimRU,Pro,2,1
ProDieR,Pro,1,1
ProDieU,Pro,1,1
ProDieL,Pro,1,1
ProDieD,Pro,1,1
ProDieRD,Pro,1,1
ProDieLD,Pro,1,1
ProDieLU,Pro,1,1
ProDieRU,Pro,1,1
ProTurn,Pro,1,1
ProWhiteTurn,Pro,1,1
ProRanding,Pro,0.5,1
ProTurnIdle,Pro,1,1
ProRandingIdle,Pro,1,1
BowIdleR,Bow,10,1
BowIdleU,Bow,10,1
BowIdleL,Bow,10,1
BowIdleD,Bow,10,1
BowIdleRD,Bow,10,1
BowIdleLD,Bow,10,1
